Course of Study,University/ Campus/ Institute,Uni-Code
ARTS,UNIVERSITY OF SRI JAYEWARDENEPURA,019C
ARTS,UNIVERSITY OF KELANIYA,019D
ARTS,UNIVERSITY OF JAFFNA,019E
ARTS,UNIVERSITY OF RUHUNA,019F
ARTS,"EASTERN UNIVERSITY, SRI LANKA",019H
ARTS,SOUTH EASTERN UNIVERSITY OF SRI LANKA,019J
ARTS,RAJARATA UNIVERSITY OF SRI LANKA,019K
ARTS (SP) - MASS MEDIA,"SRIPALEE CAMPUS, UNIVERSITY OF COLOMBO",020S
ARTS (SP) - PERFORMING ARTS,"SRIPALEE CAMPUS, UNIVERSITY OF COLOMBO",041S
ARTS (SAB),SABARAGAMUWA UNIVERSITY OF SRI LANKA,021L
MANAGEMENT STUDIES (TV),"TRINCOMALEE CAMPUS, EASTERN UNIVERSITY, SRI LANKA",022W
MANAGEMENT STUDIES (TV),"UNIVERSITY OF VAVUNIYA, SRI LANKA",022R
MANAGEMENT STUDIES (TV),UNIVERSITY OF MORATUWA,023G
DESIGN,UNIVERSITY OF MORATUWA,024G
LAW,UNIVERSITY OF COLOMBO,025A
LAW,UNIVERSITY OF PERADENIYA,025B
LAW,UNIVERSITY OF JAFFNA,025E
INFORMATION TECHNOLOGY (IT),UNIVERSITY OF MORATUWA,026G
MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),UNIVERSITY OF KELANIYA,027D
MANAGEMENT AND PUBLIC POLICY,UNIVERSITY OF SRI JAYEWARDENEPURA,028C
COMMUNICATION STUDIES,"TRINCOMALEE CAMPUS, EASTERN UNIVERSITY, SRI LANKA",029W
URBAN INFORMATICS AND PLANNING,UNIVERSITY OF MORATUWA,030G
PEACE AND CONFLICT RESOLUTION,UNIVERSITY OF KELANIYA,031D
AYURVEDA MEDICINE AND SURGERY,UNIVERSITY OF COLOMBO,032A
AYURVEDA MEDICINE AND SURGERY,"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",032P
UNANI MEDICINE AND SURGERY,UNIVERSITY OF COLOMBO,033A
FASHION DESIGN & PRODUCT DEVELOPMENT,UNIVERSITY OF MORATUWA,034G
FOOD SCIENCE & TECHNOLOGY,UNIVERSITY OF PERADENIYA,035B
FOOD SCIENCE & TECHNOLOGY,UNIVERSITY OF SRI JAYEWARDENEPURA,035C
FOOD SCIENCE & TECHNOLOGY,SABARAGAMUWA UNIVERSITY OF SRI LANKA,035L
SIDDHA MEDICINE AND SURGERY,UNIVERSITY OF JAFFNA,036E
SIDDHA MEDICINE AND SURGERY,"TRINCOMALEE CAMPUS, EASTERN UNIVERSITY, SRI LANKA",036W
NURSING,UNIVERSITY OF COLOMBO,037A
NURSING,UNIVERSITY OF PERADENIYA,037B
NURSING,UNIVERSITY OF SRI JAYEWARDENEPURA,037C
NURSING,UNIVERSITY OF JAFFNA,037E
NURSING,UNIVERSITY OF RUHUNA,037F
NURSING,"EASTERN UNIVERSITY, SRI LANKA",037H
INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),RAJARATA UNIVERSITY OF SRI LANKA,038K
INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),"UNIVERSITY OF VAVUNIYA, SRI LANKA",038R
AGRICULTURAL TECHNOLOGY & MANAGEMENT,UNIVERSITY OF PERADENIYA,039B
HEALTH PROMOTION,RAJARATA UNIVERSITY OF SRI LANKA,050K
PHARMACY,UNIVERSITY OF PERADENIYA,051B
PHARMACY,UNIVERSITY OF SRI JAYEWARDENEPURA,051C
PHARMACY,UNIVERSITY OF JAFFNA,051E
PHARMACY,UNIVERSITY OF RUHUNA,051F
MEDICAL LABORATORY SCIENCES,UNIVERSITY OF PERADENIYA,052B
MEDICAL LABORATORY SCIENCES,UNIVERSITY OF SRI JAYEWARDENEPURA,052C
MEDICAL LABORATORY SCIENCES,UNIVERSITY OF JAFFNA,052E
MEDICAL LABORATORY SCIENCES,UNIVERSITY OF RUHUNA,052F
RADIOGRAPHY,UNIVERSITY OF PERADENIYA,053B
PHYSIOTHERAPY,UNIVERSITY OF COLOMBO,054A
PHYSIOTHERAPY,UNIVERSITY OF PERADENIYA,054B
ENVIRONMENTAL CONSERVATION & MANAGEMENT,UNIVERSITY OF KELANIYA,055D
FACILITIES MANAGEMENT,UNIVERSITY OF MORATUWA,056G
TRANSPORT MANAGEMENT & LOGISTICS ENGINEERING (TMLE),UNIVERSITY OF MORATUWA,057G
BIOCHEMISTRY & MOLECULAR BIOLOGY,UNIVERSITY OF COLOMBO,058A
INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,UNIVERSITY OF COLOMBO,059A
STATISTICS & OPERATIONS RESEARCH,UNIVERSITY OF PERADENIYA,060B
FISHERIES & MARINE SCIENCES,UNIVERSITY OF RUHUNA,062F
ISLAMIC STUDIES,SOUTH EASTERN UNIVERSITY OF SRI LANKA,063J
SCIENCE AND TECHNOLOGY,UVA WELLASSA UNIVERSITY OF SRI LANKA,064U
COMPUTER SCIENCE & TECHNOLOGY,UVA WELLASSA UNIVERSITY OF SRI LANKA,065U
ENTREPRENEURSHIP AND MANAGEMENT,UVA WELLASSA UNIVERSITY OF SRI LANKA,066U
ANIMAL PRODUCTION AND FOOD TECHNOLOGY,UVA WELLASSA UNIVERSITY OF SRI LANKA,067U
MUSIC,UNIVERSITY OF SRI JAYEWARDENEPURA,068C
MUSIC,UNIVERSITY OF JAFFNA,068E
MUSIC,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",068Y
MUSIC,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,068Z
DANCE,UNIVERSITY OF JAFFNA,069E
DANCE,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",069Y
DANCE,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,069Z
ART & DESIGN,UNIVERSITY OF JAFFNA,070E
DRAMA & THEATRE,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",071Y
DRAMA & THEATRE,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,071Z
VISUAL & TECHNOLOGICAL ARTS,"SWAMY VIPULANANDA INSTITUTE OF AESTHETIC STUDIES, EASTERN UNIVERSITY, SRI LANKA",072Y
EXPORT AGRICULTURE,UVA WELLASSA UNIVERSITY OF SRI LANKA,073U
INDUSTRIAL INFORMATION TECHNOLOGY,UVA WELLASSA UNIVERSITY OF SRI LANKA,075U
MINERAL RESOURCES AND TECHNOLOGY,UVA WELLASSA UNIVERSITY OF SRI LANKA,076U
BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),UNIVERSITY OF SRI JAYEWARDENEPURA,077C
MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),SOUTH EASTERN UNIVERSITY OF SRI LANKA,079J
PHYSICAL EDUCATION,UNIVERSITY OF JAFFNA,081E
PHYSICAL EDUCATION,SABARAGAMUWA UNIVERSITY OF SRI LANKA,081L
SPORTS SCIENCE & MANAGEMENT,UNIVERSITY OF SRI JAYEWARDENEPURA,082C
SPORTS SCIENCE & MANAGEMENT,UNIVERSITY OF KELANIYA,082D
SPORTS SCIENCE & MANAGEMENT,SABARAGAMUWA UNIVERSITY OF SRI LANKA,082L
SPEECH AND HEARING SCIENCES,UNIVERSITY OF KELANIYA,083D
ARABIC LANGUAGE,SOUTH EASTERN UNIVERSITY OF SRI LANKA,084J
VISUAL ARTS,UNIVERSITY OF THE VISUAL & PERFORMING ARTS,085Z
ANIMAL SCIENCE & FISHERIES,UNIVERSITY OF PERADENIYA,086B
FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,WAYAMBA UNIVERSITY OF SRI LANKA,087M
AQUATIC RESOURCES TECHNOLOGY,UVA WELLASSA UNIVERSITY OF SRI LANKA,088U
"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",UVA WELLASSA UNIVERSITY OF SRI LANKA,090U
INFORMATION TECHNOLOGY & MANAGEMENT,UNIVERSITY OF MORATUWA,091G
TOURISM & HOSPITALITY MANAGEMENT,RAJARATA UNIVERSITY OF SRI LANKA,092K
TOURISM & HOSPITALITY MANAGEMENT,SABARAGAMUWA UNIVERSITY OF SRI LANKA,092L
AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,UNIVERSITY OF RUHUNA,093F
AGRIBUSINESS MANAGEMENT,UNIVERSITY OF RUHUNA,094F
GREEN TECHNOLOGY,UNIVERSITY OF RUHUNA,095F
INFORMATION SYSTEMS,UNIVERSITY OF SRI JAYEWARDENEPURA,096C
INFORMATION SYSTEMS,SABARAGAMUWA UNIVERSITY OF SRI LANKA,096L
INFORMATION SYSTEMS,UNIVERSITY OF COLOMBO SCHOOL OF COMPUTING,096T
LANDSCAPE ARCHITECTURE,UNIVERSITY OF MORATUWA,097G
TRANSLATION STUDIES,UNIVERSITY OF KELANIYA,098D
TRANSLATION STUDIES,UNIVERSITY OF JAFFNA,098E
TRANSLATION STUDIES,"EASTERN UNIVERSITY, SRI LANKA",098H
TRANSLATION STUDIES,SABARAGAMUWA UNIVERSITY OF SRI LANKA,098L
SOFTWARE ENGINEERING,UNIVERSITY OF SRI JAYEWARDENEPURA,099C
SOFTWARE ENGINEERING,UNIVERSITY OF KELANIYA,099D
SOFTWARE ENGINEERING,SABARAGAMUWA UNIVERSITY OF SRI LANKA,099L
FILM & TELEVISION STUDIES,UNIVERSITY OF KELANIYA,100D
PROJECT MANAGEMENT,"UNIVERSITY OF VAVUNIYA, SRI LANKA",101R
ENGINEERING TECHNOLOGY (ET),UNIVERSITY OF COLOMBO,102A
ENGINEERING TECHNOLOGY (ET),UNIVERSITY OF SRI JAYEWARDENEPURA,102C
ENGINEERING TECHNOLOGY (ET),UNIVERSITY OF KELANIYA,102D
ENGINEERING TECHNOLOGY (ET),UNIVERSITY OF JAFFNA,102E
ENGINEERING TECHNOLOGY (ET),UNIVERSITY OF RUHUNA,102F
ENGINEERING TECHNOLOGY (ET),RAJARATA UNIVERSITY OF SRI LANKA,102K
ENGINEERING TECHNOLOGY (ET),SABARAGAMUWA UNIVERSITY OF SRI LANKA,102L
ENGINEERING TECHNOLOGY (ET),WAYAMBA UNIVERSITY OF SRI LANKA,102M
ENGINEERING TECHNOLOGY (ET),UVA WELLASSA UNIVERSITY OF SRI LANKA,102U
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF COLOMBO,103A
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,103C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,103D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF JAFFNA,103E
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF RUHUNA,103F
BIOSYSTEMS TECHNOLOGY (BST),"EASTERN UNIVERSITY, SRI LANKA",103H
BIOSYSTEMS TECHNOLOGY (BST),SOUTH EASTERN UNIVERSITY OF SRI LANKA,103J
BIOSYSTEMS TECHNOLOGY (BST),RAJARATA UNIVERSITY OF SRI LANKA,103K
BIOSYSTEMS TECHNOLOGY (BST),SABARAGAMUWA UNIVERSITY OF SRI LANKA,103L
BIOSYSTEMS TECHNOLOGY (BST),WAYAMBA UNIVERSITY OF SRI LANKA,103M
BIOSYSTEMS TECHNOLOGY (BST),UVA WELLASSA UNIVERSITY OF SRI LANKA,103U
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF COLOMBO,104A
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,104C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,104D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF RUHUNA,104F
BIOSYSTEMS TECHNOLOGY (BST),"EASTERN UNIVERSITY, SRI LANKA",104H
BIOSYSTEMS TECHNOLOGY (BST),SOUTH EASTERN UNIVERSITY OF SRI LANKA,104J
BIOSYSTEMS TECHNOLOGY (BST),RAJARATA UNIVERSITY OF SRI LANKA,104K
BIOSYSTEMS TECHNOLOGY (BST),"UNIVERSITY OF VAVUNIYA, SRI LANKA",104R
BIOSYSTEMS TECHNOLOGY (BST),UVA WELLASSA UNIVERSITY OF SRI LANKA,104U
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,105C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,105D
BIOSYSTEMS TECHNOLOGY (BST),SABARAGAMUWA UNIVERSITY OF SRI LANKA,105L
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF RUHUNA,106F
BIOSYSTEMS TECHNOLOGY (BST),SABARAGAMUWA UNIVERSITY OF SRI LANKA,107L
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,108C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,108D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF MORATUWA,109G
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,110D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF PERADENIYA,111B
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF PERADENIYA,112B
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,112C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF RUHUNA,113F
BIOSYSTEMS TECHNOLOGY (BST),UVA WELLASSA UNIVERSITY OF SRI LANKA,114U
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,115D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,116C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF MORATUWA,117G
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,118D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,119D
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",120P
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",121P
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",122P
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",123P
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",124P
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",125P
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",126P
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF KELANIYA,127D
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,128C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,129C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,130C
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,131C
BIOSYSTEMS TECHNOLOGY (BST),UVA WELLASSA UNIVERSITY OF SRI LANKA,132U
BIOSYSTEMS TECHNOLOGY (BST),"UNIVERSITY OF VAVUNIYA, SRI LANKA",133R
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,134C
BIOSYSTEMS TECHNOLOGY (BST),UVA WELLASSA UNIVERSITY OF SRI LANKA,135U
BIOSYSTEMS TECHNOLOGY (BST),SABARAGAMUWA UNIVERSITY OF SRI LANKA,136L
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF COLOMBO,137A
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF COLOMBO,138A
BIOSYSTEMS TECHNOLOGY (BST),UNIVERSITY OF SRI JAYEWARDENEPURA,139C
BIOSYSTEMS TECHNOLOGY (BST),"GAMPAHA WICKRAMARACHCHI UNIVERSITY OF INDIGENOUS MEDICINE, SRI LANKA",140P
